,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
2658,"Subquery Magic: Write awesome SQL, Master T-SQL Sub Queries",Kris Wenzel,4.5,366.0,2 total hours,21 lectures,Beginner,269.99,529.99,"3,279 students"
2659,Apache Spark In-Depth (Spark with Scala),Harish Masand,4.6,366.0,40.5 total hours,26 lectures,All Levels,269.99,1399.99,"26,870 students"
2660,The Ultimate HTML5 Elements & CSS3 Properties BOOTCAMP,Muslim Helalee,4.4,366.0,38.5 total hours,332 lectures,All Levels,269.99,799.99,"1,817 students"
2661,Learn Apache Solr with Big Data and Cloud Computing,QScutter Tutorials,3.9,365.0,5 total hours,55 lectures,All Levels,199.99,229.99,"2,112 students"
2662,Selenium WebDriver: JavaScript Automation For Beginners 2019,Rangel Stoilov,3.7,365.0,3 total hours,23 lectures,All Levels,229.99,1199.99,"12,943 students"
2663,MATLAB App Designing: The ultimate Guide for MATLAB Apps,Nouman Azam,4.7,365.0,7 total hours,69 lectures,All Levels,229.99,749.99,"2,742 students"
2664,"UI Automation with Serenity BDD (Selenium, Cucumber, Junit)",Tejasvi Hegde,3.8,365.0,11.5 total hours,64 lectures,All Levels,269.99,1399.99,"2,671 students"
2665,Web Development - CSS3 - Scratch till Advanced Project Based,Tharun Shiv,4.0,365.0,4.5 total hours,54 lectures,All Levels,199.99,229.99,"28,767 students"
2666,Yarn Dependency Management: The Complete Guide,Ray Viljoen,4.6,364.0,1.5 total hours,22 lectures,All Levels,319.99,729.99,"5,170 students"
2667,Data Structures and Algorithms: In Depth using C#,Syed Mohiuddin,4.4,364.0,28.5 total hours,228 lectures,Beginner,269.99,719.99,"2,990 students"
2668,Create a 3D multi-player game using THREE.js and Socket.IO,Nicholas Lever,3.8,364.0,3 total hours,39 lectures,Intermediate,319.99,449.99,"2,596 students"
2669,Apache Airflow: Complete Hands-On Beginner to Advanced Class,Alexandra Abbas,3.1,364.0,5 total hours,54 lectures,Beginner,229.99,819.99,"2,041 students"
2670,Hosting Websites with Amazon Lightsail | AWS for 2020,"Chase Raz, M.B.A.",4.4,364.0,7 total hours,58 lectures,All Levels,269.99,1399.99,"2,310 students"
2671,"Java Messaging Service - Spring MVC, Spring Boot, ActiveMQ",Infybuzz Learning,4.1,364.0,2 total hours,28 lectures,Beginner,199.99,229.99,"1,836 students"
2672,Getting Started with LESS - Beginner Crash Course,Sandy Ludosky,4.2,364.0,1.5 total hours,21 lectures,Beginner,229.99,269.99,"2,887 students"
2673,"MERN Stack Full Ecommerce Site - Using React, Redux, Node.js",Ghulam Abbas,4.4,363.0,20 total hours,139 lectures,All Levels,199.99,229.99,"1,613 students"
2674,Introduction to using Git,"Laurence Svekis, Joe Parys Support, Joe Parys",4.2,363.0,2 total hours,34 lectures,Beginner,229.99,1199.99,"19,435 students"
2675,Postman : complete guide to API Testing || GET CERTIFICATE.,Easy Learning Academy,4.1,363.0,1 total hour,16 lectures,Beginner,199.99,229.99,"1,312 students"
2676,Advanced iOS & Firebase: Rideshare,Devslopes by Mark Wahlbeck,4.4,363.0,16 total hours,40 lectures,Intermediate,269.99,1299.99,"3,142 students"
2677,PHP for Beginners to Inventory POS Sales Project - AdminLTE,Mohammad Faizan,4.1,362.0,26 total hours,147 lectures,All Levels,319.99,1399.99,"6,850 students"
2678,The Complete VMware Horizon 7: Beginner to Advanced: 3-in-1,Packt Publishing,4.4,362.0,20.5 total hours,156 lectures,Beginner,319.99,1599.99,"2,015 students"
2679,Svelte Tutorial and Projects Course,John Smilga,4.6,362.0,15.5 total hours,151 lectures,All Levels,199.99,229.99,"2,755 students"
2680,Swift for Intermediate and Advanced iOS Developers,Mohammad Azam,4.8,362.0,7.5 total hours,67 lectures,All Levels,269.99,1399.99,"2,853 students"
2681,Mastering Databricks & Apache spark -Build ETL data pipeline,Priyank Singh,4.1,361.0,4.5 total hours,47 lectures,All Levels,229.99,269.99,"2,183 students"
2682,Hibernate quick practical guide (with Java) basics,Chaand Sheikh,3.8,361.0,2 total hours,26 lectures,Beginner,229.99,269.99,"5,873 students"
2683,Full Stack Web Development Bootcamp,"Bogdan Stashchuk | Software Engineer, MBA, PhD",4.7,361.0,30.5 total hours,394 lectures,All Levels,319.99,719.99,"3,537 students"
2684,Practical Data Science: Analyzing Stock Market Data with R,Manuel Amunategui,4.4,360.0,4 total hours,18 lectures,All Levels,479.99,765.8469641367806,"2,368 students"
2685,TestNG Complete Bootcamp For Beginners - Novice To Ninja,Lets Kode It,4.6,360.0,5 total hours,38 lectures,All Levels,269.99,719.99,"3,961 students"
2686,Kotlin for Beginners: Next Android platform language,VJ Bambhaniya,4.0,360.0,4 total hours,16 lectures,Beginner,199.99,229.99,"15,378 students"
2687,SOLID principles & Design Patterns for Java programmers,"Domingo Sebastian, Jane Leitch",3.9,359.0,3.5 total hours,39 lectures,All Levels,269.99,579.99,"2,919 students"
2688,Data Science Real-World Case Studies - Hands On Python,Shan Singh,4.6,359.0,11 total hours,59 lectures,All Levels,269.99,319.99,"52,211 students"
