,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
0,2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,4.6,440383.0,22 total hours,155 lectures,All Levels,319.99,1399.99,"1,629,692 students"
1,The Web Developer Bootcamp 2022,Colt Steele,4.7,248508.0,64 total hours,615 lectures,All Levels,269.99,1399.99,"830,559 students"
2,The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,4.7,234837.0,65.5 total hours,490 lectures,All Levels,349.99,1699.99,"794,897 students"
3,Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,4.6,174576.0,34.5 total hours,472 lectures,All Levels,319.99,1599.99,"634,196 students"
4,Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",4.5,171838.0,80.5 total hours,401 lectures,All Levels,349.99,849.99,"727,934 students"
5,"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,166128.0,49.5 total hours,495 lectures,All Levels,319.99,1599.99,"649,985 students"
6,Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",4.5,163104.0,42.5 total hours,287 lectures,All Levels,269.99,1299.99,"900,823 students"
7,The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,4.7,156031.0,69 total hours,320 lectures,All Levels,349.99,1699.99,"699,335 students"
8,100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,4.7,150024.0,64 total hours,676 lectures,All Levels,319.99,1399.99,"662,274 students"
9,Python for Data Science and Machine Learning Bootcamp,Jose Portilla,4.6,122487.0,25 total hours,165 lectures,All Levels,319.99,1399.99,"588,524 students"
10,The Data Science Course 2022: Complete Data Science Bootcamp,"365 Careers, 365 Careers Team",4.6,114535.0,32 total hours,517 lectures,All Levels,319.99,1699.99,"539,202 students"
11,Automate the Boring Stuff with Python Programming,Al Sweigart,4.7,103366.0,9.5 total hours,51 lectures,All Levels,319.99,479.99,"1,060,445 students"
12,Complete C# Unity Game Developer 2D,"GameDev.tv Team, Rick Davidson, Gary Pettie",4.7,96126.0,18.5 total hours,140 lectures,All Levels,349.99,1599.99,"433,485 students"
13,Learn Python Programming Masterclass,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",4.6,94413.0,72.5 total hours,534 lectures,All Levels,269.99,849.99,"394,722 students"
14,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Rahul Shetty,4.6,89742.0,53.5 total hours,327 lectures,All Levels,319.99,1399.99,"280,503 students"
15,Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,4.8,85094.0,37.5 total hours,151 lectures,All Levels,349.99,1699.99,"341,962 students"
16,iOS & Swift - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.8,80067.0,60.5 total hours,542 lectures,All Levels,349.99,1699.99,"311,592 students"
17,Modern React with Redux,Stephen Grider,4.7,77591.0,52.5 total hours,574 lectures,All Levels,319.99,1399.99,"275,832 students"
18,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover",4.6,74438.0,37.5 total hours,650 lectures,Beginner,319.99,1399.99,"344,881 students"
19,The Complete Web Developer Course 2.0,"Rob Percival, Codestars • over 2 million students worldwide!",4.6,70448.0,28.5 total hours,288 lectures,All Levels,269.99,1299.99,"304,994 students"
20,The Complete Node.js Developer Course (3rd Edition),"Andrew Mead, Rob Percival",4.6,67880.0,35 total hours,177 lectures,All Levels,269.99,629.99,"283,695 students"
21,Spring & Hibernate for Beginners (includes Spring Boot),Chad Darby,4.6,66391.0,42.5 total hours,568 lectures,All Levels,349.99,1699.99,"282,683 students"
22,Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,"Sam Pattuzzi, GameDev.tv Team, Stephen Ulibarri",4.7,61325.0,29.5 total hours,207 lectures,All Levels,269.99,1299.99,"319,855 students"
23,The Python Mega Course: Learn Python in 40 Days with 18 Apps,Ardit Sulce,4.6,59372.0,36.5 total hours,335 lectures,All Levels,319.99,1399.99,"279,373 students"
24,C# Basics for Beginners: Learn C# Fundamentals by Coding,Mosh Hamedani,4.5,57641.0,5.5 total hours,87 lectures,Beginner,349.99,1399.99,"191,563 students"
25,The Complete Web Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",4.7,57562.0,38.5 total hours,399 lectures,All Levels,319.99,1699.99,"197,701 students"
26,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Bret Fisher, Docker Captain Program",4.7,56703.0,20 total hours,180 lectures,All Levels,349.99,1699.99,"280,933 students"
27,Vue - The Complete Guide (incl. Router & Composition API),Maximilian Schwarzmüller,4.7,56394.0,32 total hours,329 lectures,All Levels,319.99,1599.99,"206,761 students"
28,Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,54299.0,42.5 total hours,378 lectures,All Levels,319.99,1599.99,"216,495 students"
29,Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",4.6,53453.0,46 total hours,305 lectures,All Levels,349.99,849.99,"223,168 students"
30,Docker and Kubernetes: The Complete Guide,Stephen Grider,4.7,51210.0,22 total hours,321 lectures,All Levels,269.99,719.99,"264,566 students"
31,R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team",4.6,48259.0,10.5 total hours,79 lectures,All Levels,269.99,1399.99,"242,563 students"
32,JavaScript: Understanding the Weird Parts,Anthony Alicea,4.8,45752.0,12 total hours,89 lectures,All Levels,349.99,1299.99,"180,386 students"
33,The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,4.6,45652.0,29 total hours,217 lectures,All Levels,349.99,1599.99,"156,400 students"
34,Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,4.5,45321.0,32 total hours,198 lectures,All Levels,319.99,1699.99,"186,915 students"
35,The Python Bible™ | Everything You Need to Program in Python,"Ziyad Yehia, Internet of Things Academy",4.6,43753.0,9 total hours,74 lectures,Beginner,319.99,1599.99,"146,452 students"
36,Complete Python Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery",4.7,41990.0,31 total hours,336 lectures,All Levels,319.99,1599.99,"173,662 students"
37,The Complete React Native + Hooks Course,Stephen Grider,4.5,41965.0,38.5 total hours,434 lectures,All Levels,319.99,679.99,"175,131 students"
38,Deep Learning A-Z™: Hands-On Artificial Neural Networks,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",4.5,41377.0,22.5 total hours,169 lectures,All Levels,319.99,1699.99,"342,743 students"
39,Master Microservices with Spring Boot and Spring Cloud,in28Minutes Official,4.5,40315.0,22 total hours,260 lectures,All Levels,319.99,1599.99,"194,027 students"
40,SQL for Beginners: Learn SQL using MySQL and Database Design,"Tim Buchalka's Learn Programming Academy, Jon Avis - SQL Instructor",4.5,39214.0,8 total hours,122 lectures,Beginner,269.99,719.99,"126,771 students"
41,The Complete Oracle SQL Certification Course,Imtiaz Ahmad,4.6,38496.0,16.5 total hours,71 lectures,All Levels,269.99,1299.99,"146,829 students"
42,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Jonas Schmedtmann,4.8,38349.0,28 total hours,126 lectures,Intermediate,269.99,1399.99,"178,600 students"
43,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,36673.0,40.5 total hours,543 lectures,All Levels,269.99,1399.99,"187,789 students"
44,Understanding TypeScript - 2023 Edition,Maximilian Schwarzmüller,4.7,36452.0,15 total hours,198 lectures,All Levels,319.99,1399.99,"175,152 students"
45,Complete C# Unity Game Developer 3D,"Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie",4.7,36449.0,30.5 total hours,204 lectures,All Levels,319.99,1599.99,"191,638 students"
46,Apache Kafka Series - Learn Apache Kafka for Beginners v3,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy",4.7,34780.0,8.5 total hours,120 lectures,All Levels,319.99,849.99,"167,768 students"
47,Statistics for Data Science and Business Analysis,"365 Careers, 365 Careers Team",4.6,34392.0,5 total hours,92 lectures,All Levels,269.99,849.99,"157,184 students"
48,HTML and CSS for Beginners - Build a Website & Launch ONLINE,"Edwin Diaz, Coding Faculty Solutions",4.5,34062.0,6 total hours,49 lectures,All Levels,229.99,719.99,"360,186 students"
49,Mastering Data Structures & Algorithms using C and C++,Abdul Bari,4.6,32952.0,58.5 total hours,390 lectures,All Levels,319.99,1299.99,"129,076 students"
50,Data Science A-Z™: Real-Life Data Science Exercises Included,"Kirill Eremenko, Ligency I Team, Ligency Team",4.6,32405.0,21 total hours,217 lectures,All Levels,269.99,1299.99,"207,161 students"
51,Python for Beginners: Learn Python Programming (Python 3),Jason Cannon,4.5,32186.0,3 total hours,78 lectures,All Levels,269.99,1299.99,"109,748 students"
52,The Complete ASP.NET MVC 5 Course,Mosh Hamedani,4.4,31808.0,7.5 total hours,139 lectures,All Levels,319.99,1399.99,"124,946 students"
53,iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Dr. Angela Yu,4.3,31615.0,49.5 total hours,475 lectures,All Levels,269.99,1299.99,"117,942 students"
54,"C# Intermediate: Classes, Interfaces and OOP",Mosh Hamedani,4.5,30521.0,6 total hours,45 lectures,Intermediate,269.99,849.99,"134,221 students"
55,Modern JavaScript From The Beginning,Brad Traversy,4.7,30158.0,21.5 total hours,122 lectures,All Levels,269.99,1299.99,"100,165 students"
56,Go: The Complete Developer's Guide (Golang),Stephen Grider,4.6,29774.0,9 total hours,83 lectures,All Levels,269.99,629.99,"121,257 students"
57,Java Programming for Complete Beginners,in28Minutes Official,4.5,29533.0,31 total hours,374 lectures,Beginner,319.99,1699.99,"179,111 students"
58,React Native - The Practical Guide [2023],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,29428.0,28.5 total hours,289 lectures,All Levels,319.99,1199.99,"166,078 students"
59,Master the Coding Interview: Data Structures + Algorithms,"Andrei Neagoie, Zero To Mastery",4.7,28512.0,19.5 total hours,262 lectures,All Levels,269.99,1299.99,"183,789 students"
60,The Complete Android N Developer Course,"Rob Percival, Marc Stock, Codestars • over 2 million students worldwide!",4.2,28430.0,32.5 total hours,272 lectures,All Levels,269.99,1299.99,"155,724 students"
61,"Machine Learning, Data Science and Deep Learning with Python","Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.5,28034.0,15.5 total hours,116 lectures,Beginner,229.99,269.99,"169,037 students"
62,C Programming For Beginners - Master the C Language,"Tim Buchalka's Learn Programming Academy, Jason Fedin",4.4,27721.0,24 total hours,137 lectures,All Levels,269.99,849.99,"124,369 students"
63,Learn and Understand NodeJS,Anthony Alicea,4.6,27604.0,13 total hours,97 lectures,All Levels,269.99,1399.99,"121,448 students"
64,Learn JIRA with real-world examples (+Confluence bonus),Kosh Sarkar,4.6,27211.0,11.5 total hours,88 lectures,All Levels,269.99,479.99,"126,546 students"
65,The Modern Python 3 Bootcamp,Colt Steele,4.7,27187.0,30.5 total hours,376 lectures,Beginner,319.99,1599.99,"104,502 students"
66,Relational Database Design,Ben Brumm,4.3,27137.0,1.5 total hours,32 lectures,All Levels,269.99,479.99,"71,622 students"
67,Rest API Testing (Automation) from Scratch-Rest Assured Java,Rahul Shetty,4.6,26761.0,26 total hours,161 lectures,All Levels,269.99,1299.99,"119,492 students"
68,The Complete Angular Course: Beginner to Advanced,Mosh Hamedani,4.4,26113.0,29.5 total hours,376 lectures,All Levels,269.99,1299.99,"107,466 students"
69,"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",John Honai,4.6,25730.0,1 total hour,13 lectures,Beginner,269.99,719.99,"68,159 students"
70,"Git Complete: The definitive, step-by-step guide to Git",Jason Taylor,4.4,25696.0,6.5 total hours,85 lectures,All Levels,269.99,1299.99,"118,596 students"
71,JavaScript Basics for Beginners,Mosh Hamedani,4.6,25137.0,6.5 total hours,105 lectures,Beginner,269.99,749.99,"101,097 students"
72,Python A-Z™: Python For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team",4.6,25057.0,11 total hours,72 lectures,All Levels,319.99,1599.99,"148,263 students"
73,Ethereum and Solidity: The Complete Developer's Guide,Stephen Grider,4.6,24084.0,24 total hours,266 lectures,All Levels,319.99,679.99,"127,649 students"
74,Modern HTML & CSS From The Beginning (Including Sass),Brad Traversy,4.7,24014.0,21 total hours,129 lectures,All Levels,319.99,719.99,"75,713 students"
75,"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)","Andrei Neagoie, Yihua Zhang, Zero To Mastery",4.6,23745.0,39.5 total hours,328 lectures,All Levels,319.99,1599.99,"119,422 students"
76,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,"Andrew Eddy, Margot Dukes",4.6,23506.0,5.5 total hours,58 lectures,Beginner,229.99,679.99,"81,402 students"
77,JavaScript - The Complete Guide 2023 (Beginner + Advanced),"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,23317.0,52.5 total hours,617 lectures,All Levels,319.99,1399.99,"120,320 students"
78,Python for Absolute Beginners,Green Chameleon Learning,4.5,23288.0,4.5 total hours,112 lectures,Beginner,229.99,479.99,"179,020 students"
79,The Complete Python Programming Course: Beginner to Advanced,"Joseph Delgadillo, Nick Germaine",4.1,23247.0,18 total hours,147 lectures,All Levels,269.99,1299.99,"576,628 students"
80,PHP for Beginners - Become a PHP Master - CMS Project,"Edwin Diaz, Coding Faculty Solutions",4.4,22828.0,37 total hours,336 lectures,All Levels,269.99,1399.99,"114,458 students"
81,Angular & NodeJS - The MEAN Stack Guide [2023 Edition],Maximilian Schwarzmüller,4.6,22796.0,13 total hours,152 lectures,All Levels,269.99,849.99,"115,654 students"
82,Complete C# Masterclass,"Denis Panjuta, Tutorials.eu by Denis Panjuta",4.5,22403.0,37 total hours,282 lectures,All Levels,269.99,1399.99,"99,148 students"
83,The Complete React Developer Course (w/ Hooks and Redux),Andrew Mead,4.5,22211.0,39 total hours,200 lectures,Beginner,269.99,719.99,"81,790 students"
84,Alteryx Bootcamp,Hendrik Kleine,4.6,22051.0,6.5 total hours,95 lectures,Beginner,269.99,599.99,"57,255 students"
85,JavaScript Algorithms and Data Structures Masterclass,Colt Steele,4.7,21915.0,22 total hours,248 lectures,All Levels,269.99,749.99,"119,311 students"
86,Artificial Intelligence A-Z™: Learn How To Build An AI,"Hadelin de Ponteves, Kirill Eremenko, Ligency I Team, Luka Anicin, Ligency Team, Jordan Sauchuk",4.4,21744.0,17 total hours,125 lectures,All Levels,269.99,1299.99,"187,296 students"
87,Kubernetes Certified Application Developer (CKAD) with Tests,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",4.7,21706.0,15 total hours,184 lectures,All Levels,349.99,1699.99,"133,502 students"
88,The Complete Java Certification Course,Imtiaz Ahmad,4.5,21594.0,17.5 total hours,64 lectures,All Levels,269.99,1299.99,"77,201 students"
89,Learn and Understand AngularJS,Anthony Alicea,4.6,21149.0,7 total hours,55 lectures,All Levels,269.99,1299.99,"94,730 students"
90,Python for beginners,Bharath Thippireddy,4.4,21115.0,14 total hours,299 lectures,All Levels,269.99,319.99,"229,912 students"
91,Microsoft SQL for Beginners,Brewster Knowlton,4.5,20991.0,4 total hours,39 lectures,Beginner,319.99,449.99,"77,317 students"
92,Learn How To Code: Google's Go (golang) Programming Language,Todd McLeod,4.5,20218.0,45.5 total hours,368 lectures,All Levels,319.99,349.99,"134,362 students"
93,Java In-Depth: Become a Complete Java Engineer!,Dheeru Mundluru,4.5,20133.0,68 total hours,377 lectures,All Levels,269.99,679.99,"112,484 students"
94,Spark and Python for Big Data with PySpark,Jose Portilla,4.5,19971.0,10.5 total hours,67 lectures,Intermediate,319.99,1399.99,"107,404 students"
95,Become a WordPress Developer: Unlocking Power With Code,Brad Schiff,4.7,19710.0,42 total hours,196 lectures,All Levels,319.99,1599.99,"86,876 students"
96,Build an app with ASPNET Core and Angular from scratch,Neil Cummings,4.6,19588.0,30 total hours,265 lectures,Beginner,269.99,1299.99,"86,411 students"
97,C# Advanced Topics: Prepare for Technical Interviews,Mosh Hamedani,4.6,19553.0,3 total hours,21 lectures,Intermediate,319.99,849.99,"108,118 students"
98,MongoDB - The Complete Developer's Guide 2023,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,19252.0,17.5 total hours,266 lectures,All Levels,269.99,999.99,"134,388 students"
99,REST APIs with Flask and Python in 2022,"Jose Salvatierra, Teclado by Jose Salvatierra",4.6,18717.0,12 total hours,122 lectures,Intermediate,319.99,729.99,"103,461 students"
100,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,Abdul Bari,4.6,18696.0,30.5 total hours,279 lectures,All Levels,269.99,1299.99,"60,055 students"
101,Learning Python for Data Analysis and Visualization,Jose Portilla,4.3,18398.0,21 total hours,110 lectures,All Levels,319.99,1599.99,"192,912 students"
102,The Complete Python Course | Learn Python by Doing in 2022,"Codestars • over 2 million students worldwide!, Jose Salvatierra, Rob Percival, Teclado by Jose Salvatierra",4.6,18297.0,35.5 total hours,346 lectures,All Levels,269.99,1299.99,"74,348 students"
103,Data Analysis with Pandas and Python,Boris Paskhaver,4.6,18059.0,22 total hours,206 lectures,All Levels,199.99,229.99,"173,173 students"
104,Complete Guide to Elasticsearch,Bo Andersen,4.5,17857.0,12 total hours,140 lectures,All Levels,269.99,779.99,"99,624 students"
105,Spring Framework 5: Beginner to Guru,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy",4.5,17822.0,57.5 total hours,525 lectures,All Levels,269.99,1399.99,"94,817 students"
106,Angular Crash Course for Busy Developers,Mosh Hamedani,4.5,17789.0,10.5 total hours,137 lectures,All Levels,229.99,999.99,"74,239 students"
107,The Complete Android Oreo Developer Course - Build 23 Apps!,"Rob Percival, Nick Walter, Codestars • over 2 million students worldwide!",4.4,17211.0,37.5 total hours,272 lectures,All Levels,269.99,1399.99,"87,895 students"
108,The Ultimate Guide to Game Development with Unity (Official),"Jonathan Weinberger, Unity Technologies",4.6,17124.0,36.5 total hours,521 lectures,Beginner,319.99,1399.99,"82,953 students"
109,The Complete 2022 Software Testing Bootcamp,"T Roshdy, Nezam Academy, Nezam Team",4.6,17049.0,27 total hours,310 lectures,Beginner,319.99,419.99,"96,722 students"
110,Python for Financial Analysis and Algorithmic Trading,Jose Portilla,4.6,16833.0,16.5 total hours,120 lectures,All Levels,319.99,1599.99,"113,486 students"
111,Git Going Fast: One Hour Git Crash Course,Jason Taylor,4.4,16690.0,1.5 total hours,33 lectures,Beginner,199.99,229.99,"99,058 students"
112,Learn Python & Ethical Hacking From Scratch,"Zaid Sabih, z Security",4.7,16567.0,25 total hours,183 lectures,All Levels,319.99,1599.99,"98,104 students"
113,Complete Guide to TensorFlow for Deep Learning with Python,Jose Portilla,4.2,16543.0,14 total hours,96 lectures,Intermediate,269.99,1299.99,"93,119 students"
114,Apache Spark with Scala - Hands On with Big Data!,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.5,16242.0,9 total hours,69 lectures,All Levels,199.99,229.99,"87,278 students"
115,Bootstrap 4 From Scratch With 5 Projects,Brad Traversy,4.5,16220.0,11.5 total hours,74 lectures,All Levels,319.99,849.99,"68,112 students"
116,Selenium 4 WebDriver with Java(Basics + Advance + Architect),Rahul Arora,4.5,16206.0,143 total hours,462 lectures,All Levels,199.99,229.99,"147,225 students"
117,The Ultimate Excel Programmer Course,Daniel Strong,4.6,15746.0,30.5 total hours,279 lectures,All Levels,269.99,1399.99,"113,384 students"
118,"Understanding Jira for users, managers and admins",Dan LeFebvre,4.5,15591.0,6.5 total hours,59 lectures,All Levels,269.99,729.99,"58,692 students"
119,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Maximilian Schwarzmüller,4.7,15556.0,20.5 total hours,290 lectures,All Levels,269.99,1399.99,"67,732 students"
120,Data Science and Machine Learning Bootcamp with R,Jose Portilla,4.7,15440.0,18 total hours,128 lectures,All Levels,349.99,1599.99,"85,246 students"
121,WebServices/Rest API Testing with SoapUI +Real time Projects,Rahul Shetty,4.5,15234.0,12.5 total hours,74 lectures,All Levels,269.99,1299.99,"75,129 students"
122,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,Rahul Shetty,4.5,15158.0,25.5 total hours,154 lectures,All Levels,319.99,1399.99,"81,699 students"
123,Javascript for Beginners Learn by Doing Practical Exercises,"Edwin Diaz, Coding Faculty Solutions",4.4,14969.0,4 total hours,31 lectures,All Levels,229.99,719.99,"36,987 students"
124,"MERN Stack Front To Back: Full Stack React, Redux & Node.js",Brad Traversy,4.5,14900.0,12 total hours,73 lectures,Intermediate,319.99,849.99,"59,409 students"
125,The Complete Oracle SQL Bootcamp (2022),"Oracle Master Training | 175,000+ Students Worldwide, Code Star Academy",4.6,14672.0,33.5 total hours,351 lectures,All Levels,269.99,1299.99,"60,304 students"
126,Learn HTML5 Programming From Scratch,Eduonix Learning Solutions,4.2,14632.0,17 total hours,72 lectures,All Levels,229.99,269.99,"318,855 students"
127,The Complete WordPress Website Business Course,"Rob Percival, Gregg Davis, Codestars • over 2 million students worldwide!",4.2,14561.0,22 total hours,116 lectures,All Levels,319.99,849.99,"77,003 students"
128,The Complete Ruby on Rails Developer Course,"Rob Percival, Mashrur Hossain, Codestars • over 2 million students worldwide!",4.6,14544.0,48 total hours,432 lectures,All Levels,269.99,1299.99,"92,370 students"
129,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2023",Jonas Schmedtmann,4.7,14522.0,42 total hours,229 lectures,All Levels,349.99,1699.99,"87,377 students"
130,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,Edward Viaene,4.2,14301.0,4.5 total hours,52 lectures,All Levels,229.99,269.99,"71,772 students"
131,Node with React: Fullstack Web Development,Stephen Grider,4.7,14230.0,26 total hours,214 lectures,All Levels,319.99,1399.99,"82,459 students"
132,MasterClass Software Testing with Jira & Agile -Be a QA Lead,Rahul Shetty,4.5,14207.0,10.5 total hours,78 lectures,All Levels,319.99,1399.99,"63,829 students"
133,Docker Crash Course for busy DevOps and Developers,"Tao W., Level Up, James Lee",4.3,13996.0,3 total hours,49 lectures,All Levels,269.99,779.99,"63,424 students"
134,Java Programming: Complete Beginner to Advanced,CodeIn Academy,4.2,13879.0,7 total hours,48 lectures,Beginner,269.99,679.99,"522,455 students"
135,Taming Big Data with Apache Spark and Python - Hands On!,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",4.5,13841.0,7 total hours,66 lectures,All Levels,229.99,269.99,"82,468 students"
136,The Coding Interview Bootcamp: Algorithms + Data Structures,Stephen Grider,4.6,13793.0,13 total hours,137 lectures,All Levels,319.99,649.99,"91,650 students"
137,Docker & Kubernetes: The Practical Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,13791.0,23.5 total hours,260 lectures,All Levels,269.99,1399.99,"95,957 students"
138,iOS 10 & Swift 3: From Beginner to Paid Professional™,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",4.7,13670.0,71 total hours,251 lectures,All Levels,229.99,1199.99,"90,181 students"
139,Ultimate Web Designer & Web Developer Course,Brad Hussey,4.5,13612.0,35 total hours,263 lectures,All Levels,319.99,1699.99,"78,452 students"
140,Bash Scripting and Shell Programming (Linux Command Line),Jason Cannon,4.4,13577.0,2.5 total hours,34 lectures,All Levels,269.99,1299.99,"72,317 students"
141,Data Structures and Algorithms:  Deep Dive Using Java,"Tim Buchalka, Goran Lochert, Tim Buchalka's Learn Programming Academy",4.5,13388.0,16 total hours,116 lectures,Intermediate,269.99,719.99,"84,388 students"
142,The Complete Front-End Web Development Course,"Joseph Delgadillo, Nick Germaine",4.2,13312.0,17 total hours,126 lectures,All Levels,269.99,1299.99,"424,572 students"
143,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",Ricardo Andre Gonzalez Gomez,4.4,13306.0,10.5 total hours,165 lectures,All Levels,349.99,749.99,"104,901 students"
144,Microservices with Node JS and React,Stephen Grider,4.8,13152.0,54.5 total hours,660 lectures,All Levels,319.99,1399.99,"90,089 students"
145,Complete Machine Learning & Data Science Bootcamp 2023,"Andrei Neagoie, Daniel Bourke, Zero To Mastery",4.6,12909.0,44 total hours,378 lectures,All Levels,269.99,1299.99,"77,444 students"
146,Learn DevOps: Infrastructure Automation With Terraform,Edward Viaene,4.5,12902.0,11.5 total hours,120 lectures,Beginner,319.99,419.99,"84,999 students"
147,Learn JMETER from Scratch on Live Apps -Performance Testing,Rahul Shetty,4.5,12654.0,8.5 total hours,49 lectures,All Levels,319.99,1599.99,"63,723 students"
148,ES6 Javascript: The Complete Developer's Guide,Stephen Grider,4.6,12592.0,6.5 total hours,70 lectures,Beginner,319.99,619.99,"53,255 students"
149,The Modern JavaScript Bootcamp,Andrew Mead,4.7,12590.0,29.5 total hours,155 lectures,All Levels,349.99,629.99,"49,445 students"
150,The Agile Samurai Bootcamp,Jonathan Rasmusson,4.5,12404.0,3 total hours,34 lectures,All Levels,319.99,1599.99,"41,409 students"
151,The Git & Github Bootcamp,Colt Steele,4.8,12350.0,17 total hours,187 lectures,Beginner,269.99,849.99,"77,041 students"
152,AWS Serverless APIs & Apps - A Complete Introduction,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,12277.0,8 total hours,142 lectures,All Levels,319.99,819.99,"79,453 students"
153,Introduction to Machine Learning for Data Science,David Valentine,4.4,12209.0,5.5 total hours,62 lectures,Beginner,229.99,1199.99,"57,123 students"
154,NLP - Natural Language Processing with Python,Jose Portilla,4.6,12132.0,11.5 total hours,80 lectures,Intermediate,319.99,1399.99,"62,289 students"
155,Master Java Web Services and REST API with Spring Boot,in28Minutes Official,4.5,12118.0,12 total hours,132 lectures,All Levels,269.99,1399.99,"67,949 students"
156,Entity Framework in Depth: The Complete Guide,Mosh Hamedani,4.5,12088.0,6.5 total hours,79 lectures,Intermediate,349.99,719.99,"56,496 students"
157,Build Websites from Scratch with HTML & CSS,"Brad Hussey, Code College",4.6,12048.0,8.5 total hours,81 lectures,Beginner,269.99,819.99,"86,552 students"
158,Selenium Webdriver with PYTHON from Scratch + Frameworks,Rahul Shetty,4.6,11927.0,17 total hours,121 lectures,All Levels,269.99,1299.99,"60,602 students"
159,PHP with Laravel for beginners - Become a Master in Laravel,"Edwin Diaz, Coding Faculty Solutions",4.4,11816.0,43 total hours,409 lectures,All Levels,319.99,849.99,"51,557 students"
160,JavaScript: The Advanced Concepts (2023 Update),"Andrei Neagoie, Zero To Mastery",4.7,11760.0,25.5 total hours,229 lectures,All Levels,319.99,1399.99,"62,956 students"
161,Postman: The Complete Guide - REST API Testing,"Valentin Despa, Valentin Despa (Support)",4.6,11756.0,15 total hours,162 lectures,All Levels,199.99,229.99,"69,692 students"
162,Scala & Functional Programming Essentials | Rock the JVM,Daniel Ciocîrlan,4.7,11700.0,11.5 total hours,40 lectures,Intermediate,269.99,319.99,"50,211 students"
163,Learn to Code in Python 3: Programming beginner to advanced,"Ivan Lourenço Gomes, Learn IT University, Andrii Piatakha",4.5,11661.0,5.5 total hours,45 lectures,Beginner,319.99,649.99,"259,566 students"
164,"Beginner Full Stack Web Development: HTML, CSS, React & Node","Mark Wahlbeck, Devslopes by Mark Wahlbeck",4.5,11526.0,31.5 total hours,168 lectures,Beginner,269.99,1299.99,"118,039 students"
